Years_of_Experience,Education_Level,Number_of_Skills,Certifications,Projects,Resume_Score
12.1,Bachelor's,9,2,3,65.06
3.3,Bachelor's,5,0,8,31.61
5.5,PhD,19,2,4,85.02
3.6,Bachelor's,10,3,3,43.12
3.3,Bachelor's,6,0,5,34.18
4.8,Bachelor's,7,0,3,21.2
5.6,Diploma,9,1,10,54.61
4.5,Master's,6,2,1,37.76
4.2,Diploma,7,1,2,25.41
2.2,Master's,6,3,3,46.18
3.7,Master's,11,3,4,58.7
11.1,Bachelor's,8,4,8,79.12
2.1,Master's,4,3,1,24.97
4.9,Diploma,12,2,2,39.18
8.9,Master's,9,3,9,78.27
5.7,PhD,14,1,10,89.64
7.6,Diploma,1,2,7,27.33
1.5,Master's,10,0,5,27.42
4.9,Bachelor's,10,1,3,37.44
3.2,Bachelor's,3,1,4,6.05
3.3,Master's,8,6,2,54.01
10.5,Bachelor's,16,3,7,92.53
3.3,Bachelor's,10,1,6,41.18
5.0,Bachelor's,10,0,5,38.41
0.7,Bachelor's,9,1,4,17.68
12.1,Master's,12,3,10,100.0
7.3,Diploma,11,1,3,28.41
3.8,Bachelor's,8,3,4,45.43
3.1,Diploma,13,0,6,40.96
6.1,Master's,7,2,8,50.75
8.9,Bachelor's,15,2,6,69.91
12.2,Bachelor's,15,2,5,76.01
7.2,Bachelor's,16,1,11,82.27
4.2,Bachelor's,12,2,5,42.12
7.9,PhD,10,2,8,76.1
6.9,Bachelor's,11,1,1,37.78
4.2,Bachelor's,11,0,5,33.16
6.8,Master's,14,2,7,76.54
6.7,Bachelor's,6,5,6,65.93
3.8,Bachelor's,7,4,7,39.51
2.6,Bachelor's,12,2,6,46.46
6.3,Diploma,8,0,1,9.98
1.6,Master's,7,0,4,27.75
1.3,Master's,7,1,3,24.14
5.0,Master's,7,1,8,45.38
6.2,Master's,8,2,11,76.39
5.0,Bachelor's,5,3,2,51.21
5.4,Bachelor's,14,3,3,55.39
6.1,Bachelor's,8,6,3,52.84
10.5,PhD,16,0,7,88.73
7.2,Master's,7,1,8,67.42
7.1,Bachelor's,12,0,3,35.84
4.8,Master's,13,2,7,78.94
4.9,Master's,15,2,3,50.56
3.6,Master's,7,0,4,34.88
5.3,Master's,8,3,7,68.66
1.5,Bachelor's,10,2,5,42.02
10.6,Bachelor's,14,2,5,77.7
2.0,Bachelor's,7,1,1,16.29
7.2,Bachelor's,17,2,4,75.21
9.7,PhD,18,1,8,96.81
7.2,Bachelor's,8,1,3,33.14
16.4,Bachelor's,14,6,11,100.0
0.4,Bachelor's,7,0,1,15.83
2.7,Bachelor's,7,1,3,25.71
9.6,Bachelor's,16,3,4,81.16
1.2,Diploma,6,1,6,12.72
2.0,Master's,14,1,6,61.84
5.9,Bachelor's,9,1,2,22.04
4.2,Bachelor's,13,1,3,37.81
5.6,Bachelor's,11,1,2,35.69
4.4,Bachelor's,11,2,5,43.81
4.8,Master's,8,3,9,65.83
2.2,Master's,13,4,2,60.44
4.6,Diploma,12,0,2,23.44
2.9,PhD,13,2,2,68.15
3.2,Master's,11,1,4,31.06
7.2,Bachelor's,11,0,6,60.01
1.2,Bachelor's,13,0,7,34.27
0.3,Bachelor's,9,1,4,32.55
6.8,Master's,11,5,5,75.72
4.6,Bachelor's,8,1,1,27.06
9.7,Bachelor's,9,0,3,34.96
2.1,Master's,18,1,5,53.65
3.7,Master's,6,2,6,50.98
4.3,Master's,11,2,6,40.64
2.4,Master's,9,1,7,39.24
1.8,Diploma,11,0,8,34.39
7.0,Master's,9,3,5,62.2
1.1,Bachelor's,5,0,0,0.0
1.6,Diploma,11,1,2,26.42
3.6,PhD,11,1,8,83.46
7.6,Bachelor's,9,0,2,33.76
2.6,Diploma,10,0,1,17.52
2.3,Bachelor's,11,0,3,36.97
3.4,Bachelor's,8,1,5,32.46
5.2,Diploma,10,1,3,22.63
3.0,Bachelor's,7,1,5,29.7
8.3,Master's,7,1,9,56.02
8.5,Master's,8,0,10,72.08
3.6,Diploma,7,0,5,13.38
13.6,Bachelor's,9,1,8,74.2
4.2,Master's,8,2,9,62.03
8.3,Diploma,8,1,7,36.35
5.1,Bachelor's,10,2,4,43.79
5.1,High School,5,0,6,0.0
0.8,Bachelor's,11,1,4,25.5
1.4,Diploma,12,0,5,12.91
3.2,Master's,13,3,5,57.03
8.5,PhD,9,1,7,59.82
5.2,Bachelor's,6,2,9,46.49
3.2,Bachelor's,13,2,8,60.88
6.2,Bachelor's,11,4,3,57.43
8.3,High School,3,1,8,31.43
4.0,Master's,9,3,4,46.47
4.7,Bachelor's,8,1,7,38.77
4.3,PhD,21,4,5,100.0
3.8,Bachelor's,6,1,9,40.18
2.0,Diploma,10,1,6,27.17
1.9,Bachelor's,15,2,2,56.08
6.2,Bachelor's,17,0,6,58.38
8.4,Master's,10,1,4,55.8
3.2,Master's,9,0,5,32.63
3.1,Bachelor's,8,0,6,27.8
0.6,Bachelor's,9,3,2,34.8
0.5,Master's,14,2,2,48.57
9.9,Master's,17,6,9,100.0
2.2,Diploma,13,0,3,22.58
17.2,High School,13,2,9,64.36
2.5,Diploma,16,0,3,32.5
0.9,Bachelor's,10,3,6,43.06
4.3,Bachelor's,8,2,4,37.01
7.0,Diploma,11,1,4,45.96
6.4,Bachelor's,13,3,4,57.64
7.5,Bachelor's,11,0,4,48.32
1.7,Diploma,4,0,5,0.0
9.7,Master's,14,3,7,79.69
10.1,Bachelor's,10,2,4,54.37
10.4,Bachelor's,6,1,3,40.28
4.9,Bachelor's,10,2,7,56.33
3.0,Bachelor's,11,2,4,32.16
2.8,Master's,9,2,3,53.38
0.8,Bachelor's,11,0,3,14.29
2.6,Bachelor's,6,0,6,23.1
0.2,Master's,4,2,4,25.89
0.7,Master's,7,1,3,28.89
4.8,Master's,7,4,5,62.09
3.3,Bachelor's,8,1,5,48.93
4.7,Diploma,10,3,4,32.85
6.6,Master's,12,5,6,85.8
5.3,Bachelor's,7,1,13,58.75
5.0,Master's,12,4,3,72.48
3.7,Master's,12,2,5,61.2
2.1,Bachelor's,3,0,2,5.05
1.3,Bachelor's,6,1,2,1.86
2.6,Bachelor's,7,0,4,16.88
3.8,Bachelor's,9,0,6,27.16
4.2,Master's,8,1,5,41.94
7.5,Master's,14,4,4,74.19
3.5,Bachelor's,10,0,7,34.95
6.0,Master's,14,4,8,84.6
1.0,Bachelor's,10,1,3,21.44
4.9,Master's,7,3,9,63.97
4.6,Bachelor's,8,2,3,28.1
9.7,Master's,5,6,4,75.24
3.3,Master's,11,4,5,57.14
3.2,Bachelor's,6,1,5,22.87
6.6,Bachelor's,6,0,4,29.26
1.3,Master's,10,3,3,25.94
4.8,Bachelor's,15,1,6,74.46
1.3,Master's,7,0,4,30.55
12.7,PhD,11,4,6,100.0
2.8,Master's,8,2,5,41.98
1.2,Bachelor's,10,2,5,36.21
2.6,Bachelor's,5,1,6,17.2
4.8,PhD,13,1,2,63.85
5.8,Bachelor's,8,0,6,25.49
9.4,Diploma,7,1,5,28.24
2.3,High School,7,3,2,1.74
6.9,Master's,14,1,5,78.42
0.7,Bachelor's,6,0,5,7.1
1.6,Bachelor's,9,0,4,24.44
1.0,Bachelor's,9,1,1,0.91
2.0,Master's,12,1,6,51.3
6.6,Bachelor's,12,4,6,81.26
2.4,Master's,11,0,2,37.14
2.8,Master's,14,2,6,47.64
4.9,PhD,6,2,6,60.86
5.6,Master's,6,4,2,46.53
2.9,Bachelor's,11,1,5,47.2
1.6,Master's,9,1,4,36.26
11.4,High School,5,1,5,17.86
2.9,PhD,11,3,2,58.36
3.1,Bachelor's,10,1,7,37.17
3.4,Master's,5,1,4,16.98
6.1,Master's,15,1,6,68.97
0.9,Diploma,9,1,4,14.36
14.3,Master's,9,3,6,92.49
3.0,High School,5,1,3,5.33
6.2,Bachelor's,8,3,3,42.29
1.2,Bachelor's,8,0,3,4.46
4.5,Bachelor's,7,4,5,41.43
12.9,Bachelor's,13,4,10,100.0
11.7,Master's,4,2,6,74.49
6.1,Bachelor's,8,2,13,68.81
1.9,Bachelor's,11,0,1,17.77
9.1,Master's,14,4,5,86.18
0.7,Master's,12,1,1,32.52
1.8,High School,8,1,5,21.32
3.8,PhD,13,1,10,80.23
0.8,High School,8,1,2,0.0
2.6,Bachelor's,10,3,6,47.58
7.0,Bachelor's,14,3,4,58.8
2.2,Master's,7,2,4,27.27
7.2,Diploma,7,1,3,12.41
16.9,Diploma,9,6,6,85.51
5.3,Master's,14,1,4,68.35
7.1,Diploma,11,1,4,45.88
9.3,Bachelor's,10,1,7,52.33
2.8,Master's,12,4,3,57.61
7.0,Master's,10,5,7,83.88
2.7,Bachelor's,10,4,8,52.85
5.1,Bachelor's,14,1,4,58.4
7.7,PhD,12,3,4,87.34
1.9,Bachelor's,4,1,5,21.4
0.3,High School,10,1,2,0.0
1.8,Bachelor's,12,1,3,19.9
8.5,Bachelor's,13,4,5,83.48
1.6,PhD,11,1,7,65.11
8.2,Bachelor's,10,2,4,56.19
1.8,High School,4,0,2,0.0
3.4,Bachelor's,10,1,3,26.61
4.0,Diploma,4,2,3,17.08
1.6,Bachelor's,13,0,1,30.68
3.4,PhD,10,4,4,81.77
0.8,Master's,11,1,2,28.05
3.0,Diploma,6,2,1,8.15
3.7,Bachelor's,4,1,7,14.52
0.3,Diploma,5,0,3,0.0
1.8,Diploma,2,0,4,0.0
4.9,Bachelor's,6,2,3,24.83
1.4,Bachelor's,11,0,7,20.41
5.6,Master's,7,4,6,55.52
6.0,Master's,14,1,4,64.24
4.9,Bachelor's,16,1,1,46.88
6.9,Master's,11,2,5,52.91
0.8,Bachelor's,8,2,3,32.85
8.0,Bachelor's,6,3,7,51.6
1.6,Master's,12,0,3,38.43
4.3,High School,5,2,3,6.66
12.6,Bachelor's,9,3,3,65.46
3.0,Master's,15,1,5,51.29
4.0,Bachelor's,13,2,7,56.54
1.6,Master's,4,2,2,26.02
12.5,Bachelor's,11,2,3,63.78
1.8,Master's,9,1,6,44.21
6.3,Diploma,5,0,4,24.2
9.3,Diploma,8,1,4,33.23
6.8,Bachelor's,9,1,11,67.41
5.2,Master's,8,2,5,51.34
4.3,Diploma,19,1,8,70.14
1.2,Master's,17,1,2,38.42
12.1,Bachelor's,8,2,10,87.21
4.8,Bachelor's,12,3,1,39.85
4.0,Bachelor's,7,1,5,47.53
1.5,Diploma,8,0,2,6.35
4.2,PhD,9,2,8,77.69
3.8,Bachelor's,8,1,4,29.63
12.6,Master's,7,3,12,100.0
4.0,Bachelor's,11,1,5,46.41
4.1,Bachelor's,9,1,3,30.06
1.5,Bachelor's,5,0,2,12.0
2.1,Master's,9,0,7,17.85
5.8,Master's,16,1,5,64.04
0.6,Bachelor's,9,1,3,20.96
7.9,Bachelor's,12,0,5,54.23
8.1,Bachelor's,16,1,11,90.07
1.9,Bachelor's,8,3,4,32.78
5.2,Bachelor's,13,0,5,42.07
9.5,Bachelor's,19,2,3,81.67
3.6,Master's,12,0,4,53.71
3.1,PhD,7,2,3,54.21
3.4,PhD,10,2,8,70.31
4.8,Master's,15,1,6,85.18
2.4,Bachelor's,9,2,4,34.34
2.9,Master's,9,1,5,45.36
4.9,Diploma,8,3,3,42.24
2.7,Bachelor's,6,0,6,35.29
1.4,Bachelor's,8,2,4,33.66
0.6,High School,8,1,2,0.0
4.1,PhD,16,0,5,70.2
9.1,Master's,8,1,10,78.18
5.4,Bachelor's,12,0,3,51.65
1.4,Bachelor's,9,0,7,51.93
2.1,Master's,8,1,3,28.76
3.1,Bachelor's,11,1,2,36.2
12.8,Master's,18,6,10,100.0
13.3,PhD,12,3,11,100.0
12.3,Bachelor's,13,0,4,56.51
4.4,Bachelor's,4,1,0,23.67
24.1,Bachelor's,16,3,17,100.0
2.2,Diploma,4,0,3,0.89
3.0,Bachelor's,12,1,5,41.18
7.5,High School,7,4,10,53.3
4.9,Diploma,8,2,5,34.42
5.1,Bachelor's,14,2,5,51.38
1.7,Diploma,9,1,3,1.32
3.8,Master's,13,1,3,40.18
2.2,Diploma,3,1,3,0.0
1.1,Master's,9,0,4,32.25
2.4,Bachelor's,5,1,5,16.56
4.9,Diploma,11,1,1,29.19
6.7,High School,11,0,6,28.76
0.5,Master's,8,1,1,9.06
4.0,Bachelor's,14,2,4,47.22
3.7,Bachelor's,6,0,6,11.36
4.7,Diploma,7,0,7,16.5
1.5,PhD,11,2,8,64.59
1.5,Diploma,8,1,4,6.78
9.2,Bachelor's,16,2,4,84.13
1.9,Master's,12,2,7,63.99
2.9,Bachelor's,10,1,2,24.57
3.1,Bachelor's,9,0,2,31.01
2.2,Master's,10,2,2,32.77
5.7,Bachelor's,12,1,8,55.15
5.3,High School,9,2,2,22.08
3.6,Bachelor's,5,2,2,13.77
2.4,High School,6,1,3,3.47
3.3,Master's,14,4,5,73.0
4.2,Bachelor's,8,1,6,42.2
2.1,Bachelor's,11,1,3,43.16
6.0,Bachelor's,9,1,7,51.83
7.9,Master's,9,2,9,75.89
10.3,Master's,9,4,9,80.43
9.9,Diploma,11,4,4,61.21
3.1,Master's,5,2,5,36.11
4.4,Bachelor's,6,0,7,31.08
3.5,Master's,8,0,8,43.81
3.5,Bachelor's,9,1,3,32.96
3.3,Diploma,7,0,5,7.63
4.0,Master's,7,2,0,33.84
8.8,Master's,14,7,6,96.44
5.0,Bachelor's,10,1,7,34.65
1.4,High School,3,1,1,0.0
7.7,Master's,8,2,7,69.55
4.7,Bachelor's,10,1,6,38.34
5.7,Bachelor's,11,1,1,35.64
5.0,Bachelor's,9,0,2,23.43
5.1,Diploma,11,2,3,25.55
5.3,Diploma,9,2,4,36.09
0.7,High School,12,0,4,1.0
5.7,Master's,16,0,4,63.59
2.2,Bachelor's,10,2,5,27.72
2.7,Master's,13,2,2,49.48
4.0,PhD,11,3,6,78.97
11.4,Master's,15,1,5,85.5
1.6,Bachelor's,11,1,3,35.02
3.9,Bachelor's,8,1,7,44.69
3.3,Bachelor's,8,1,3,28.6
7.6,Bachelor's,12,2,6,68.24
3.2,PhD,11,0,3,46.31
4.7,Master's,9,5,3,65.85
1.6,Bachelor's,9,1,5,29.79
8.5,Bachelor's,11,2,4,70.04
1.0,Master's,7,0,2,21.93
5.6,Diploma,6,1,8,23.41
4.8,Master's,8,3,7,64.17
5.3,Bachelor's,15,3,7,62.96
1.0,Master's,10,0,2,32.35
3.1,Master's,7,1,3,39.25
7.3,Bachelor's,5,1,4,29.57
12.5,Diploma,20,1,9,81.46
3.7,Master's,12,3,3,57.69
6.9,Bachelor's,5,1,1,17.39
4.4,Bachelor's,12,1,3,32.88
3.8,Bachelor's,10,0,4,27.09
2.8,Bachelor's,9,0,1,21.28
4.0,Master's,9,4,1,38.44
6.5,Diploma,6,1,2,12.31
6.8,Bachelor's,8,0,6,58.47
1.3,Master's,13,3,1,60.5
2.6,High School,2,2,2,0.27
1.6,Bachelor's,8,1,3,21.71
4.2,Master's,12,3,4,66.66
3.0,Master's,17,3,1,57.71
5.1,Bachelor's,9,1,4,17.09
5.4,Master's,7,1,5,42.22
0.3,Bachelor's,8,0,3,9.37
4.0,Bachelor's,6,2,1,22.78
8.9,PhD,13,3,5,94.12
2.6,Master's,16,1,5,71.51
2.6,Bachelor's,8,0,4,22.8
7.9,Bachelor's,8,2,8,51.98
7.1,Bachelor's,11,0,5,44.38
1.7,Diploma,7,1,3,13.77
6.6,Master's,16,3,6,82.68
2.1,Master's,5,4,5,40.21
2.6,Bachelor's,9,1,3,30.55
1.7,Bachelor's,12,1,2,19.75
1.3,Bachelor's,12,1,2,20.52
4.3,Diploma,5,0,4,13.27
1.1,Master's,12,1,6,42.69
4.5,Bachelor's,11,1,6,43.23
4.4,Bachelor's,11,2,4,44.47
3.5,Bachelor's,12,4,4,53.17
2.7,PhD,14,1,4,55.19
2.3,Diploma,3,0,3,0.0
1.5,Bachelor's,7,1,3,11.99
10.4,Bachelor's,14,4,2,84.76
3.4,Diploma,6,1,3,8.72
3.3,Bachelor's,11,0,2,30.28
1.8,Bachelor's,13,1,0,30.32
9.6,Diploma,9,1,12,60.87
2.4,Diploma,4,0,4,0.0
4.8,Master's,9,4,8,77.69
5.5,Bachelor's,3,1,1,4.74
4.4,Bachelor's,14,3,6,52.67
1.0,Bachelor's,6,2,4,27.04
6.4,Master's,12,1,6,62.6
2.4,Master's,10,4,4,50.63
7.0,Master's,18,4,3,81.6
3.8,Bachelor's,5,0,5,16.13
5.7,Bachelor's,7,0,6,51.28
9.2,Bachelor's,10,2,12,87.17
6.2,Bachelor's,13,2,8,60.07
5.8,Bachelor's,7,1,9,46.76
6.6,Diploma,7,3,11,60.81
2.0,Bachelor's,8,1,5,21.28
7.2,Bachelor's,9,1,6,44.95
3.2,High School,8,2,1,2.13
3.3,Bachelor's,8,2,3,24.62
4.2,Master's,7,3,4,57.42
3.0,Bachelor's,7,0,3,13.19
1.7,Master's,8,0,3,26.42
4.0,Bachelor's,8,1,7,41.09
3.3,Master's,14,7,6,99.59
3.2,Master's,6,0,7,38.12
3.7,Diploma,9,0,1,24.76
0.4,PhD,7,1,4,36.38
3.2,High School,6,0,2,0.0
10.0,Bachelor's,11,0,7,67.14
9.5,Master's,16,2,8,100.0
4.1,Bachelor's,2,1,4,15.62
4.0,Bachelor's,13,1,7,61.1
0.3,Bachelor's,12,2,3,37.93
2.5,Diploma,9,4,5,30.51
6.5,High School,5,0,7,15.08
2.9,Diploma,6,0,2,2.25
8.1,Diploma,6,1,8,32.64
7.8,Bachelor's,15,1,6,66.17
2.5,Bachelor's,8,2,4,32.28
4.4,Bachelor's,11,0,5,40.63
10.5,Master's,15,2,5,85.49
1.0,High School,2,0,5,0.0
3.0,Bachelor's,12,1,2,49.99
0.9,Master's,6,1,3,26.52
1.9,Master's,6,1,5,43.32
12.6,Bachelor's,13,3,5,84.08
3.0,Diploma,7,3,3,33.37
0.5,Master's,6,1,0,9.21
1.6,Master's,3,1,5,25.15
0.8,Bachelor's,14,1,3,29.87
4.5,Bachelor's,6,2,5,31.61
5.4,High School,5,3,2,13.35
7.3,Bachelor's,15,2,8,72.27
6.3,Master's,13,4,9,78.59
1.1,Master's,7,1,4,28.58
5.2,Bachelor's,11,0,1,25.62
3.6,Bachelor's,7,0,2,23.75
8.0,Master's,12,2,10,74.62
6.8,Bachelor's,7,3,7,51.76
13.7,Master's,10,3,5,81.81
1.8,Bachelor's,10,0,3,27.46
1.5,Bachelor's,12,1,3,26.5
2.7,Bachelor's,8,0,6,36.45
3.7,Bachelor's,8,0,4,25.46
2.3,PhD,12,5,7,87.69
1.8,Bachelor's,8,0,7,37.18
5.0,Bachelor's,7,5,6,47.87
2.7,Bachelor's,9,1,4,28.11
2.2,Bachelor's,11,0,4,31.56
1.1,Bachelor's,8,0,3,16.67
0.3,Master's,11,0,6,29.51
9.7,Bachelor's,6,0,5,46.83
9.5,Bachelor's,11,2,6,65.6
6.9,Bachelor's,14,2,6,65.61
5.9,Diploma,6,2,3,22.12
2.5,Master's,13,2,4,30.36
6.0,Bachelor's,11,2,4,53.08
1.4,Bachelor's,8,2,3,29.84
4.3,Master's,6,1,5,37.72
2.0,Master's,10,2,5,37.25
6.0,Master's,10,2,5,56.01
11.0,Bachelor's,9,2,7,75.22
1.6,Bachelor's,16,1,6,46.06
2.6,Master's,10,2,2,41.28
4.2,Bachelor's,10,1,6,40.13
0.6,Bachelor's,4,1,3,11.35
0.9,Bachelor's,11,0,3,12.0
10.8,Master's,14,4,7,97.32
5.0,Diploma,9,0,5,32.7
2.4,Bachelor's,5,1,5,15.82
3.9,Diploma,6,1,0,2.3
2.7,Bachelor's,9,0,2,27.08
4.3,Master's,9,4,2,58.68
2.8,Bachelor's,16,0,3,42.38
3.7,Bachelor's,8,3,9,57.52
6.4,Master's,9,1,2,47.98
6.1,Master's,11,3,10,80.33
10.4,Bachelor's,10,3,8,84.25
5.3,PhD,7,2,7,63.57
4.1,Bachelor's,5,0,4,12.6
11.4,Master's,17,4,4,88.62
3.4,Diploma,4,0,6,6.55
0.3,Bachelor's,9,1,2,12.35
7.0,Bachelor's,7,3,7,50.89
4.8,Diploma,9,2,4,21.87
3.9,Bachelor's,19,1,5,62.71
7.1,Diploma,10,0,5,26.2
2.8,Bachelor's,11,2,5,46.62
0.4,Diploma,11,0,3,15.22
7.2,Diploma,10,0,6,55.34
2.3,PhD,12,0,3,45.42
1.7,Master's,8,1,4,33.76
0.4,PhD,13,2,7,61.23
6.8,Bachelor's,10,1,5,38.67
0.2,High School,8,0,1,0.0
9.2,Bachelor's,12,1,3,47.47
3.0,Bachelor's,2,1,6,11.5
7.0,High School,12,2,3,32.55
5.4,Master's,8,0,7,42.06
12.8,Bachelor's,9,2,11,89.14
5.3,Master's,11,2,6,69.49
8.9,Bachelor's,9,2,6,52.41
2.5,Bachelor's,10,1,4,41.99
0.8,Bachelor's,10,1,3,26.7
7.8,PhD,10,3,6,82.67
0.8,Bachelor's,10,0,2,3.01
6.8,Diploma,13,1,4,28.51
1.5,Diploma,7,0,4,18.25
4.9,Bachelor's,12,0,5,51.41
13.0,PhD,14,10,7,100.0
6.4,Master's,9,3,10,91.87
3.4,Master's,11,0,5,55.35
5.5,PhD,12,2,3,69.36
2.6,Master's,10,1,2,40.52
16.3,Bachelor's,11,1,8,81.41
2.1,Bachelor's,10,0,4,27.56
3.7,Diploma,13,0,5,35.71
6.0,Bachelor's,11,0,4,45.27
5.2,Bachelor's,12,1,5,46.37
5.6,Bachelor's,5,1,6,20.0
2.6,PhD,10,0,3,33.8
3.3,PhD,8,0,4,48.74
7.6,Bachelor's,10,0,6,44.17
7.3,Master's,11,4,1,68.67
5.3,Bachelor's,16,4,3,56.29
9.7,Diploma,14,3,12,94.99
7.8,Bachelor's,10,0,7,44.52
7.2,Bachelor's,8,2,6,62.28
0.8,Bachelor's,11,0,3,9.98
5.2,Bachelor's,8,1,4,39.37
4.6,Diploma,12,0,6,26.61
10.5,Bachelor's,12,1,7,68.72
3.5,Master's,9,1,5,53.45
4.3,Diploma,8,0,5,26.85
1.5,Bachelor's,3,0,2,0.0
1.8,Bachelor's,10,1,3,22.18
10.5,Bachelor's,9,4,5,58.39
5.6,Bachelor's,9,1,9,40.0
13.0,High School,7,1,6,34.68
3.5,Bachelor's,16,0,8,49.54
1.0,Bachelor's,12,1,3,17.96
3.1,Master's,17,1,5,61.68
2.7,Bachelor's,13,2,1,34.99
6.6,Bachelor's,11,4,7,68.98
6.4,Bachelor's,18,1,4,56.13
5.8,Bachelor's,8,1,2,26.55
15.6,Bachelor's,10,6,6,97.36
9.3,High School,9,1,3,31.82
1.9,Bachelor's,10,1,4,24.95
7.9,Master's,13,2,2,51.43
4.1,Diploma,4,0,2,0.0
3.4,Diploma,4,0,3,0.0
10.1,Master's,14,0,7,66.02
1.8,Bachelor's,4,1,6,18.45
